country,average,2005,2006,2007,2008,2009
China,6418.768948,5512.70276,5817.1435,6256.70446,6800.46763,7706.82639
United States,5836.18713,5991.46638,5913.67572,6018.13054,5833.13349,5424.52952
Russia,1636.800958,1652.6947,1675.4723,1627.20294,1671.97414,1556.66071
India,1377.75561,1183.28312,1282.68148,1368.38302,1463.30432,1591.12611
Japan,1209.80787,1241.26229,1239.88937,1254.43846,1215.48436,1097.96487
Germany,822.768046,847.35868,850.62032,827.23431,823.06515,765.56177
Canada,594.018072,623.43162,597.22993,610.00274,598.45917,540.9669
United Kingdom,564.456614,583.06362,585.49889,569.89452,563.882,519.94404
"Korea, South",506.202992,493.80074,484.21004,503.09967,521.77008,528.13443
Iran,491.010578,449.21607,475.84721,489.32536,512.06169,528.60256
South Africa,455.151312,432.53126,444.59949,463.72634,483.67983,451.21964
Italy,451.302976,471.88539,467.48605,459.5288,449.7486,407.86604
Mexico,434.937028,397.80578,436.95375,444.2595,452.05388,443.61223
France,415.715316,413.96205,416.36781,423.05632,428.53856,396.65184
Saudi Arabia,414.420628,405.54022,406.14255,396.4678,425.70574,438.24683
Australia,410.28969,397.21589,400.85593,410.35125,425.34391,417.68147
Brazil,401.004678,369.73963,383.13643,400.44169,426.53639,425.16925
Indonesia,380.286322,330.61323,360.28645,390.21964,405.37142,414.94087
Spain,367.373814,382.9024,376.05536,387.9257,360.12832,329.85729
Ukraine,329.252658,353.57839,333.31144,354.09881,352.80204,252.47261
Poland,292.64903,287.58906,299.14629,295.94881,294.77576,285.78523
Taiwan,289.8209,288.81832,297.07758,293.66206,290.40367,279.14287
Netherlands,258.982028,268.47708,269.9252,258.10382,249.49727,248.90677
Turkey,257.60053,230.89754,250.95748,280.19062,272.90035,253.05666
Thailand,247.252482,241.77711,237.22011,247.35347,255.03207,254.87965
Kazakhstan,175.239624,166.81012,181.48048,176.25256,167.53218,184.12278
United Arab Emirates,171.177904,139.7945,155.32627,171.58193,195.80483,193.38199
Egypt,169.129288,160.80883,152.69456,159.55279,183.05929,189.53097
Argentina,163.075334,151.85605,157.2424,168.89873,171.45519,165.9243
Venezuela,153.883766,145.88081,150.82786,152.2929,161.42162,158.99564
