origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   237,   677,,,,,,,   64,   59,,,,,,,,,,,,,,,,,,,,,  8 485,,,,,,,,,,,,,,   32,,   25,,0,,,,,,  14 159, 3 123 968,,, 3 276 673,0,,   254,   215,   2,,   241,  2 724,   74,  1 334,,,   384,  166 255,,0,  7 652,  1 630,,   140,   222,   51,   274,   219,,,  19 103,   26,  2 552,,   354,0,,   4,   1,   29,,   20,   40,   253,  3 368,  2 076,,,,,,   621,,   271,,,,,,   1,   24,,  4 748,   45,  3 346,  33 279,,,,  9 865,  1 756,,,,,,,,,,,,,,,,,,,,,,,,,,,,   25,,,,,   27,,   20,   2,0,0,   107,   18,,,,,,,,,,  5 321,,,  28 444,  2 729,   156,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   111,   315,,,,,,,,   78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   421,,,,,,,,,,,,,,,,,   69,,,,,,,,,,,,   801,,,,   103,   44,   96,   82,,   591,  1 026,   6,,,   5,,,0,   10,   57,,   4,,   21,   293,   156,,,,0,,  63 963,,  44 935,   16,0,   11,   27,   57,   15,   162,  45 001,  1 733,  1 363,  3 391,  5 211,,   290,,   181,  1 333,,,,,,,,,   242,,,,,,,,,,,,,,,,,,,   2,,,,,,,   148,   6,,   23,   57,   8,,,,,,,,   17,,   398,,,  5 627,   984,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,   34,,,   543,  1 551,  9 188,,  13 757,   41,,,   716,   348,,,,,,,   7,,,,   380,  1 450,   293,,,  3 464,,,,,   198,,,,,,,,,,,,,,,,   795,,,,,,,,,,,,,,,,,   9,,,  19 544,   222,,,,,,,,   156,,,   27,   32,   80,   263,   643,,   3,  1 303,   8,,,   526,,,   233,   10,   113,,   6,,   448,  1 320,  3 594,,,,0,,   203,,  6 171,   21,,   55,,   6,   4,  11 518,,   711,  10 413,  788 914,  8 493,,   98,,  1 764,  5 334,,,,,,,,,   103,,,,,   74,,,   45,,,,,,,,,,,   44,,,,   47,   50,,   229,   4,,   45,   17,   16,,   95,,,   12,,,   84,,  3 743,,,  4 629,   665,,,   513,,,,,,,,,,,,,   605,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,   959,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   111,,,,   64,,,,,,,,,,   19,,,,,,,,   995,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,   4,,,,,,,,,   1,,,   1,,0,,0,,,,   6,,,,,,   6,,   2,,,   122,,,,  2 008,,   1,,  1 233,,,,,,   20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   2,,   10,   42,,,,,,,,,,,   10,,,,   333,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,   247,,,,,,,,,,,,,,   717,  123 777,,,0,,,  10 334,  468 462,,   342,   468,,   23,,,,,,   551,,  24 028,  6 602,   4,,,  1 588,,,,,,,   70,,,,,,,,,,,,,,,,,,,,,,,,,,   581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,   33,   32,   38,,,   519,   11,,,   48,,,   4,   10,   92,,   1,,   30,   340,   825,,,,,,   20,,   304,,,  141 573,,,,  1 201,,   188,   647,  11 499,,,,,  1 727,  3 772,,,,,,,,,   218,,,,,,,,,,,,,,,,,,,   4,,,,   39,,,   20,   6,  4 868,   7,   49,   14,,,,,   10,,,   167,,  1 266,,,  2 252,   310,,,,,,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   10,,,,,,   304,,,,,,,,,0,,   4,,,,   95,,,,,,   6,,,,,,,,,,,,,   8,,,,,   7,,,   17,,,,   168,,,,,   7,   139,,,,,,,,,   16,,0,,,  1 113,,,,,,,,,,,,   8,   39,,,,,,,,,,,   106,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   14,,,,,,,,   693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   72,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   1,,,,,,,,,0,,,0,,   1,,0,,,,   542,,,,,,   12,,   1,,,,,,,,,   4,,   19,,,,,   11,   20,,,,   13,   226,   321,   388,,,0,   184,   266,   22,,,   120,,   172,,   175,   49,   51,0,,,  4 398,,,,,,,   35,,,   10,,   13,   37,,,,   5,,,,,,,  1 900,,,  12 022,   21,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   322,,,,,,,,   74,   623,,,,   5,,,,,,,,   60,,,,,,,,,,,,,,,,  2 657,,,,,,,,,   32,,,,,,,,,,,,,,,,,   21,,,  25 526,,,,,,,,,   34,,,   76,   7,   76,   22,   251,,,   582,   20,,,   833,,,   107,   5,   63,,   9,   83,   445,  1 913,   947,,   86,,   143,,   641,,  31 345,   7,,   303,   68,   5,   92,  42 923,,   839,   276,  10 137,  4 499,0,   38,,  1 614,  4 509,,,,   8,,   14,,   4,   373,,,  2 642,,,   466,,,,  1 234,,,,,,,,,  1 041,   255,   285,   145,  4 340,   185,   580,,  21 923,  28 350,  32 696,  2 359,  1 669,   27,,,  50 447,  8 122,,  14 559,  9 483,,  10 660,,,  92 563,  13 155,   419,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   179,   511,,,,,,,   94,,,,,,,,,,,,,,,,,,,,  7 596,  7 381,   257,  11 250,  9 213,,,,,,,,,,,,,,   31,,,,,,,,,   521,,,,,,  202 586,,   292,  4 039,,,   26,,,,,,,,   192,,,  6 645,  1 207,   227,   186,  1 181,,   1,  535 266,   37,  35 141,,   400,   715,,0,   2,   10,,  1 552,   815,   4,   267,   81,,,,,,  12 148,,   25,   11,,   16,,   19,,   282,,  1 681,   45,  6 547,  5 581,,,,   43,   374,,,,,,,,,,,,,,,,,,,,,,,,,,,,   6,,,,   60,,,  1 236,0,,   21,,   13,,,,,,,,   30,,  1 771,,,  41 481,   388,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,   5,,,   1,0,   1,,   1,,,,   111,,,,,,   41,,,,,,,,,,,,,   10,,,,,   557,,,   7,,,,  4 376,,,,,   17,   330,,,,,,,,,   8,,0,,,   417,,   29,,,,,,,   1,0,,   50,   283,,,,,,,,,   430,,   523,,,  3 363,   26,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,   67,,,,,   81,,,,   9,,,,,,,,   525,  1 499,,,,,   120,,   793,  4 199,   8,,,,,,   17,,,,,,,,,,,,,,,,,  2 417,  6 092,,   96,  3 976,   3,   315,   262,   54,  5 963,   18,  1 851,,   943,  2 913,   593,   425,   16,,,   12,  3 116,,   37,,,   51,,,,   741,,,  2 102,   188,,,,,,,,  2 910,,,   21,   13,   56,   832,   863,,,   761,   18,,,   981,,,   452,   60,   532,   123,   45,   22,   797,  1 760,  72 426,,   36,,   694,,  19 643,,  8 059,  3 435,,   348,,   82,   226,  2 358,,  1 371,   353,  3 931,  6 205,,   74,,  7 853,  3 033,,   7,,   27,   24,,   12,   24,,,   3,   67,,,,,,,,,   7,,,,,,,   73,   33,   47,,   116,,   115,   625,   74,   297,   675,   202,   125,   7,,,,   420,,,   131,   37,  13 390,,,  42 267,,  47 778,  1 306,   226,  13 916,   360,   442,,   64,,,   202,,,,   115,   63,   11,   236,   7,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,   20,,,,,,,,   716,  2 044,,,,,,,   901,  3 523,,,,,,,,,,,,,,,,,,,,,   98,,,,,,,   309,   3,,,,,,,,   92,,,,,,,,,,   50,,,,,,,   88,,,  6 373,   78,,,,,,,,  6 979,,,   44,   26,  1 811,  5 206,  6 119,,   722,  3 776,   281,,,  1 275,,,   253,   52,   49,,   50,   48,   997,  4 731,  20 222,,,   310,  1 265,,  3 523,,  16 037,   18,,   113,,   860,  4 461,  2 259,,,  1 010,  11 675,  189 349,  2 021,   512,,  6 902,  48 450,,,,   15,,,,   16,,,,   965,,,   170,,,,,,,,,,,,,   80,   18,,,   429,   54,   41,  4 256,   170,  4 756,   594,   280,   182,,,,,   140,,,  1 020,   26,  25 600,,,  87 673,  22 977,   655,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   24,,,,,,,,,,,,,,,,,,,,,,,,,,,,  35 789,  14 455,   257,  11 793,  23 261,,,,,,,,,,,,,,,,,,,,,,,   817,,,,,  464 459,,,   9,  7 911,,  14 696,,,,,,,,,  4 062,,,  15 651,   8,   45,   134,   356,  3 750,,  936 852,   4,  81 482,,   84,  2 211,,0,   2,   10,,  1 399,  2 193,0,   148,   77,,,,,,   171,,   6,,,   2,,,,   35,,   592,   45,   400,   600,,,,   40,   119,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,0,,   3,,,,,,,,,,,,  1 041,,,  9 026,   99,,,,,,,,,,,,,,,,,,,,,,
