# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)				
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.				
# 				
# 				
# STN      LON(east)   LAT(north)     ALT(m)  NAME				
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)				
# 290:         6.891       52.274      34.80  TWENTHE				
# 380:         5.762       50.906     114.30  MAASTRICHT				
# 				
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 				
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 				
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 				
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 				
# 				
city	date	average	minimum	maximum
				
251	20150101	59	52	68
251	20150102	77	65	105
251	20150103	63	55	72
251	20150104	55	24	79
251	20150105	51	31	63
251	20150106	46	30	73
251	20150107	51	14	71
251	20150108	69	48	85
251	20150109	84	59	107
251	20150110	83	54	111
251	20150111	64	24	76
251	20150112	77	51	91
251	20150113	65	17	91
251	20150114	45	27	59
251	20150115	69	49	85
251	20150116	59	40	77
251	20150117	37	5	58
251	20150118	31	9	42
251	20150119	18	-24	68
251	20150120	19	10	35
251	20150121	6	-1	20
251	20150122	0	-23	21
251	20150123	1	-18	28
251	20150124	43	-1	68
251	20150125	53	41	65
251	20150126	59	45	77
251	20150127	56	17	76
251	20150128	51	32	62
251	20150129	25	3	45
251	20150130	20	-21	50
251	20150131	22	-5	56
251	20150201	35	15	63
251	20150202	35	15	59
251	20150203	39	17	61
251	20150204	19	-10	40
251	20150205	3	-17	14
251	20150206	4	-32	26
251	20150207	46	-17	65
251	20150208	57	50	69
251	20150209	61	55	72
251	20150210	60	50	71
251	20150211	41	32	55
251	20150212	30	24	39
251	20150213	43	21	64
251	20150214	50	31	75
251	20150215	21	6	35
251	20150216	4	-22	26
251	20150217	35	-5	75
251	20150218	41	-4	75
251	20150219	39	22	53
251	20150220	44	35	63
251	20150221	34	11	61
251	20150222	34	-2	64
251	20150223	52	21	74
251	20150224	55	39	78
251	20150225	39	1	63
251	20150226	50	22	67
251	20150227	45	5	72
251	20150228	49	26	63
251	20150301	68	52	83
251	20150302	51	32	75
251	20150303	39	18	63
251	20150304	55	37	76
251	20150305	61	42	86
251	20150306	66	55	86
251	20150307	74	58	93
251	20150308	74	52	96
251	20150309	64	5	89
251	20150310	65	32	87
251	20150311	43	-20	89
251	20150312	63	33	104
251	20150313	38	13	64
251	20150314	46	26	57
251	20150315	55	39	78
251	20150316	72	51	114
251	20150317	67	32	130
251	20150318	62	27	88
251	20150319	65	45	88
251	20150320	50	42	63
251	20150321	61	42	90
251	20150322	37	-1	58
251	20150323	54	31	82
251	20150324	66	54	88
251	20150325	53	46	61
251	20150326	52	11	70
251	20150327	59	6	86
251	20150328	67	5	88
251	20150329	76	55	91
251	20150330	67	54	82
251	20150331	73	40	96
251	20150401	58	30	79
251	20150402	57	19	78
251	20150403	58	17	90
251	20150404	54	35	79
251	20150405	59	22	82
251	20150406	67	15	114
251	20150407	59	6	94
251	20150408	73	50	102
251	20150409	75	40	124
251	20150410	83	29	129
251	20150411	90	59	121
251	20150412	90	66	115
251	20150413	74	38	104
251	20150414	105	76	129
251	20150415	103	68	145
251	20150416	73	39	106
251	20150417	74	51	98
251	20150418	74	57	95
251	20150419	81	49	119
251	20150420	82	37	119
251	20150421	79	61	99
251	20150422	81	68	105
251	20150423	67	9	103
251	20150424	95	7	135
251	20150425	106	89	114
251	20150426	68	27	91
251	20150427	52	-19	89
251	20150428	68	-24	101
251	20150429	88	58	126
251	20150430	85	54	119
251	20150501	77	48	103
251	20150502	72	18	105
251	20150503	102	58	136
251	20150504	125	102	150
251	20150505	140	118	182
251	20150506	120	94	145
251	20150507	104	72	130
251	20150508	127	76	160
251	20150509	117	87	141
251	20150510	117	76	157
251	20150511	149	120	194
251	20150512	121	90	156
251	20150513	107	83	133
251	20150514	87	57	104
251	20150515	77	27	101
251	20150516	104	53	133
251	20150517	111	90	135
251	20150518	106	84	126
251	20150519	100	57	128
251	20150520	96	42	128
251	20150521	116	85	144
251	20150522	135	110	167
251	20150523	102	74	123
251	20150524	109	36	150
251	20150525	107	90	132
251	20150526	101	54	128
251	20150527	124	84	165
251	20150528	120	91	144
251	20150529	115	87	144
251	20150530	104	54	138
251	20150531	118	90	138
251	20150601	122	84	153
251	20150602	137	115	154
251	20150603	121	52	155
251	20150604	131	32	184
251	20150605	175	120	243
251	20150606	141	114	166
251	20150607	119	64	153
251	20150608	116	95	139
251	20150609	108	91	131
251	20150610	124	92	152
251	20150611	134	84	175
251	20150612	174	117	233
251	20150613	151	125	185
251	20150614	122	95	141
251	20150615	114	85	145
251	20150616	116	51	151
251	20150617	146	92	179
251	20150618	131	114	156
251	20150619	125	106	155
251	20150620	127	106	154
251	20150621	135	99	181
251	20150622	122	80	153
251	20150623	122	109	143
251	20150624	137	87	182
251	20150625	165	128	207
251	20150626	172	121	217
251	20150627	150	82	186
251	20150628	153	77	201
251	20150629	158	92	200
251	20150630	182	86	235
251	20150701	230	151	301
251	20150702	230	185	314
251	20150703	203	164	242
251	20150704	211	154	275
251	20150705	183	139	229
251	20150706	168	130	195
251	20150707	188	137	233
251	20150708	152	125	184
251	20150709	132	86	163
251	20150710	160	101	197
251	20150711	183	132	236
251	20150712	168	139	197
251	20150713	167	112	200
251	20150714	157	104	177
251	20150715	158	111	190
251	20150716	170	153	201
251	20150717	187	154	221
251	20150718	164	120	196
251	20150719	156	102	194
251	20150720	169	85	210
251	20150721	187	167	217
251	20150722	181	153	211
251	20150723	157	109	194
251	20150724	172	93	205
251	20150725	159	128	213
251	20150726	148	125	190
251	20150727	160	135	184
251	20150728	153	134	183
251	20150729	137	118	163
251	20150730	140	120	166
251	20150731	139	79	173
251	20150801	156	114	191
251	20150802	178	125	217
251	20150803	194	149	248
251	20150804	177	160	197
251	20150805	184	160	216
251	20150806	193	131	257
251	20150807	178	113	220
251	20150808	157	102	186
251	20150809	175	103	219
251	20150810	188	151	224
251	20150811	183	149	210
251	20150812	169	146	196
251	20150813	191	145	222
251	20150814	201	177	238
251	20150815	186	166	207
251	20150816	156	133	171
251	20150817	166	135	181
251	20150818	168	152	184
251	20150819	173	140	199
251	20150820	190	153	224
251	20150821	199	171	232
251	20150822	210	168	249
251	20150823	201	170	238
251	20150824	178	142	211
251	20150825	169	144	190
251	20150826	187	161	209
251	20150827	165	141	180
251	20150828	165	113	194
251	20150829	169	147	201
251	20150830	175	137	205
251	20150831	179	160	196
251	20150901	156	137	178
251	20150902	143	118	175
251	20150903	133	107	161
251	20150904	149	133	177
251	20150905	139	117	160
251	20150906	136	113	160
251	20150907	146	133	169
251	20150908	140	96	166
251	20150909	136	73	175
251	20150910	145	116	173
251	20150911	148	116	175
251	20150912	147	114	175
251	20150913	160	142	176
251	20150914	155	132	193
251	20150915	134	114	155
251	20150916	142	117	168
251	20150917	149	125	174
251	20150918	140	93	174
251	20150919	142	79	170
251	20150920	141	98	173
251	20150921	149	120	176
251	20150922	123	54	161
251	20150923	120	48	167
251	20150924	133	91	149
251	20150925	120	78	165
251	20150926	112	62	162
251	20150927	116	53	162
251	20150928	123	57	165
251	20150929	122	73	167
251	20150930	122	88	163
251	20151001	114	71	164
251	20151002	114	35	156
251	20151003	115	75	150
251	20151004	122	62	172
251	20151005	135	102	164
251	20151006	140	126	154
251	20151007	151	143	168
251	20151008	135	120	154
251	20151009	129	99	155
251	20151010	112	74	137
251	20151011	77	54	99
251	20151012	63	42	85
251	20151013	71	45	99
251	20151014	76	52	97
251	20151015	81	29	110
