COUNTRY,Country ,FIELD,Field,ISC11_LEVEL_CAT,Level of education,Value
AUS,Australia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),75.2
AUS,Australia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.4
AUS,Australia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56.3
AUS,Australia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),37
AUS,Australia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),22.6
AUS,Australia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),51.2
AUS,Australia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),77.7
AUS,Australia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57.9
AUS,Australia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.0375
AUT,Austria,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),83.4
AUT,Austria,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),69.9
AUT,Austria,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.6
AUT,Austria,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),33.6
AUT,Austria,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),21.8
AUT,Austria,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.5
AUT,Austria,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),71.4
AUT,Austria,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),79.3
AUT,Austria,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.9375
BRA,Brazil,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.4
BRA,Brazil,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57
BRA,Brazil,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.6
BRA,Brazil,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),34.7
BRA,Brazil,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),33.2
BRA,Brazil,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),45.6
BRA,Brazil,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.5
BRA,Brazil,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.7
BRA,Brazil,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.4625
CHE,Switzerland,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),69.3
CHE,Switzerland,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.2
CHE,Switzerland,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),48.1
CHE,Switzerland,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),32.2
CHE,Switzerland,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),14.7
CHE,Switzerland,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),34.8
CHE,Switzerland,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.2
CHE,Switzerland,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),42.1
CHE,Switzerland,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.075
CHL,Chile,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.7
CHL,Chile,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.3
CHL,Chile,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57.8
CHL,Chile,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),21.3
CHL,Chile,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),17.3
CHL,Chile,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46.8
CHL,Chile,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),77.2
CHL,Chile,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.5
CHL,Chile,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.9875
COL,Colombia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67.6
COL,Colombia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),50.8
COL,Colombia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.7
COL,Colombia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),40.8
COL,Colombia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),32.2
COL,Colombia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),41.9
COL,Colombia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),72.3
COL,Colombia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),45.6
COL,Colombia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),51.6125
CRI,Costa Rica,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.3
CRI,Costa Rica,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.8
CRI,Costa Rica,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.6
